pdbTM,sample,length
0.842,sample_0,len_090
0.827,sample_1,len_090
0.605,sample_2,len_090
0.752,sample_3,len_090
0.72,sample_4,len_090
0.81,sample_5,len_090
0.787,sample_6,len_090
0.841,sample_7,len_090
0.685,sample_8,len_090
0.93,sample_9,len_090
0.783,sample_0,len_091
0.853,sample_1,len_091
0.793,sample_2,len_091
0.744,sample_3,len_091
0.752,sample_4,len_091
0.709,sample_5,len_091
0.766,sample_6,len_091
0.633,sample_7,len_091
0.712,sample_8,len_091
0.641,sample_9,len_091
0.704,sample_0,len_092
0.797,sample_1,len_092
0.62,sample_2,len_092
0.716,sample_3,len_092
0.894,sample_4,len_092
0.886,sample_5,len_092
0.696,sample_6,len_092
0.512,sample_7,len_092
0.892,sample_8,len_092
0.824,sample_9,len_092
0.798,sample_0,len_093
0.733,sample_1,len_093
0.693,sample_2,len_093
0.682,sample_3,len_093
0.635,sample_4,len_093
0.732,sample_5,len_093
0.912,sample_6,len_093
0.896,sample_7,len_093
0.758,sample_8,len_093
0.66,sample_9,len_093
0.794,sample_0,len_094
0.744,sample_1,len_094
0.796,sample_2,len_094
0.838,sample_3,len_094
0.821,sample_4,len_094
0.795,sample_5,len_094
0.66,sample_6,len_094
0.727,sample_7,len_094
0.623,sample_8,len_094
0.821,sample_9,len_094
0.785,sample_0,len_095
0.884,sample_1,len_095
0.744,sample_2,len_095
0.824,sample_3,len_095
0.806,sample_4,len_095
0.749,sample_5,len_095
0.75,sample_6,len_095
0.714,sample_7,len_095
0.749,sample_8,len_095
0.609,sample_9,len_095
0.584,sample_0,len_096
0.906,sample_1,len_096
0.545,sample_2,len_096
0.558,sample_3,len_096
0.796,sample_4,len_096
0.759,sample_5,len_096
0.978,sample_6,len_096
0.709,sample_7,len_096
0.711,sample_8,len_096
0.885,sample_9,len_096
0.742,sample_0,len_097
0.711,sample_1,len_097
0.735,sample_2,len_097
0.516,sample_3,len_097
0.892,sample_4,len_097
0.715,sample_5,len_097
0.938,sample_6,len_097
0.668,sample_7,len_097
0.799,sample_8,len_097
0.687,sample_9,len_097
0.867,sample_0,len_098
0.636,sample_1,len_098
0.771,sample_2,len_098
0.843,sample_3,len_098
0.791,sample_4,len_098
0.812,sample_5,len_098
0.544,sample_6,len_098
0.788,sample_7,len_098
0.79,sample_8,len_098
0.593,sample_9,len_098
0.588,sample_0,len_099
0.552,sample_1,len_099
0.724,sample_2,len_099
0.743,sample_3,len_099
0.829,sample_4,len_099
0.671,sample_5,len_099
0.769,sample_6,len_099
0.642,sample_7,len_099
0.676,sample_8,len_099
0.896,sample_9,len_099
0.583,sample_0,len_100
0.741,sample_1,len_100
0.913,sample_2,len_100
0.636,sample_3,len_100
0.753,sample_4,len_100
0.931,sample_5,len_100
0.693,sample_6,len_100
0.677,sample_7,len_100
0.659,sample_8,len_100
0.7,sample_9,len_100
0.725,sample_0,len_101
0.77,sample_1,len_101
0.814,sample_2,len_101
0.733,sample_3,len_101
0.602,sample_4,len_101
0.773,sample_5,len_101
0.804,sample_6,len_101
0.605,sample_7,len_101
0.721,sample_8,len_101
0.803,sample_9,len_101
0.784,sample_0,len_102
0.678,sample_1,len_102
0.808,sample_2,len_102
0.952,sample_3,len_102
0.586,sample_4,len_102
0.53,sample_5,len_102
0.792,sample_6,len_102
0.863,sample_7,len_102
0.719,sample_8,len_102
0.759,sample_9,len_102
0.676,sample_0,len_103
0.65,sample_1,len_103
0.734,sample_2,len_103
0.652,sample_3,len_103
0.761,sample_4,len_103
0.637,sample_5,len_103
0.67,sample_6,len_103
0.659,sample_7,len_103
0.721,sample_8,len_103
0.577,sample_9,len_103
0.57,sample_0,len_104
