pdbTM,sample,length
0.749,sample_0,len_090
0.86,sample_1,len_090
0.706,sample_2,len_090
0.866,sample_3,len_090
0.769,sample_4,len_090
0.926,sample_5,len_090
0.61,sample_6,len_090
0.907,sample_7,len_090
0.814,sample_8,len_090
0.779,sample_9,len_090
0.866,sample_0,len_091
0.795,sample_1,len_091
0.854,sample_2,len_091
0.847,sample_3,len_091
0.838,sample_4,len_091
0.79,sample_5,len_091
0.75,sample_6,len_091
0.812,sample_7,len_091
0.904,sample_8,len_091
0.828,sample_9,len_091
0.784,sample_0,len_092
0.801,sample_1,len_092
0.679,sample_2,len_092
0.834,sample_3,len_092
0.808,sample_4,len_092
0.923,sample_5,len_092
0.904,sample_6,len_092
0.818,sample_7,len_092
0.783,sample_8,len_092
0.683,sample_9,len_092
0.891,sample_0,len_093
0.827,sample_1,len_093
0.932,sample_2,len_093
0.882,sample_3,len_093
0.721,sample_4,len_093
0.868,sample_5,len_093
0.693,sample_6,len_093
0.839,sample_7,len_093
0.75,sample_8,len_093
0.912,sample_9,len_093
0.74,sample_0,len_094
0.825,sample_1,len_094
0.905,sample_2,len_094
0.943,sample_3,len_094
0.825,sample_4,len_094
0.761,sample_5,len_094
0.915,sample_6,len_094
0.653,sample_7,len_094
0.893,sample_8,len_094
0.861,sample_9,len_094
0.779,sample_0,len_095
0.835,sample_1,len_095
0.741,sample_2,len_095
0.816,sample_3,len_095
0.754,sample_4,len_095
0.711,sample_5,len_095
0.862,sample_6,len_095
0.867,sample_7,len_095
0.835,sample_8,len_095
0.953,sample_9,len_095
0.901,sample_0,len_096
0.819,sample_1,len_096
0.916,sample_2,len_096
0.848,sample_3,len_096
0.723,sample_4,len_096
0.773,sample_5,len_096
0.833,sample_6,len_096
0.886,sample_7,len_096
0.707,sample_8,len_096
0.79,sample_9,len_096
0.827,sample_0,len_097
0.595,sample_1,len_097
0.938,sample_2,len_097
0.825,sample_3,len_097
0.835,sample_4,len_097
0.879,sample_5,len_097
0.752,sample_6,len_097
0.867,sample_7,len_097
0.925,sample_8,len_097
0.796,sample_9,len_097
0.915,sample_0,len_098
0.721,sample_1,len_098
0.892,sample_2,len_098
0.901,sample_3,len_098
0.9,sample_5,len_098
0.753,sample_6,len_098
0.727,sample_7,len_098
0.843,sample_8,len_098
0.74,sample_9,len_098
0.696,sample_0,len_099
0.787,sample_1,len_099
0.838,sample_2,len_099
0.822,sample_3,len_099
0.879,sample_4,len_099
0.784,sample_5,len_099
0.612,sample_6,len_099
0.891,sample_7,len_099
0.892,sample_8,len_099
0.741,sample_9,len_099
0.866,sample_0,len_100
0.82,sample_1,len_100
0.864,sample_2,len_100
0.799,sample_3,len_100
0.902,sample_4,len_100
0.908,sample_5,len_100
0.903,sample_6,len_100
0.884,sample_7,len_100
0.819,sample_8,len_100
0.796,sample_9,len_100
0.842,sample_0,len_101
0.795,sample_1,len_101
0.933,sample_2,len_101
0.774,sample_3,len_101
0.954,sample_4,len_101
0.799,sample_5,len_101
0.919,sample_6,len_101
0.937,sample_7,len_101
0.864,sample_8,len_101
0.749,sample_9,len_101
0.869,sample_0,len_102
0.845,sample_1,len_102
0.763,sample_2,len_102
0.712,sample_3,len_102
0.88,sample_4,len_102
0.825,sample_5,len_102
0.782,sample_6,len_102
0.866,sample_7,len_102
0.854,sample_8,len_102
0.921,sample_9,len_102
0.876,sample_0,len_103
0.698,sample_1,len_103
0.926,sample_2,len_103
0.706,sample_3,len_103
0.936,sample_4,len_103
0.937,sample_5,len_103
0.699,sample_6,len_103
0.871,sample_7,len_103
0.926,sample_8,len_103
0.658,sample_9,len_103
0.694,sample_0,len_104
0.814,sample_1,len_104
0.816,sample_2,len_104
0.743,sample_3,len_104
0.78,sample_4,len_104
0.856,sample_5,len_104
0.876,sample_6,len_104
0.873,sample_7,len_104
0.746,sample_8,len_104
0.899,sample_9,len_104
0.905,sample_0,len_105
0.714,sample_1,len_105
0.922,sample_2,len_105
0.859,sample_3,len_105
0.907,sample_4,len_105
0.717,sample_5,len_105
0.75,sample_6,len_105
0.757,sample_7,len_105
0.91,sample_8,len_105
0.869,sample_9,len_105
0.931,sample_0,len_106
0.845,sample_1,len_106
0.963,sample_2,len_106
0.896,sample_3,len_106
0.776,sample_4,len_106
0.834,sample_5,len_106
0.856,sample_6,len_106
0.817,sample_7,len_106
0.691,sample_8,len_106
0.822,sample_9,len_106
0.894,sample_0,len_107
0.838,sample_1,len_107
0.742,sample_2,len_107
0.634,sample_3,len_107
0.623,sample_4,len_107
0.661,sample_5,len_107
0.802,sample_6,len_107
0.897,sample_7,len_107
0.724,sample_8,len_107
0.652,sample_9,len_107
0.911,sample_0,len_108
0.859,sample_1,len_108
0.758,sample_2,len_108
0.737,sample_3,len_108
0.857,sample_4,len_108
0.676,sample_5,len_108
0.837,sample_6,len_108
0.724,sample_7,len_108
0.751,sample_8,len_108
0.69,sample_9,len_108
0.837,sample_0,len_109
0.664,sample_1,len_109
0.737,sample_2,len_109
0.866,sample_3,len_109
0.87,sample_4,len_109
0.83,sample_5,len_109
0.869,sample_6,len_109
0.921,sample_7,len_109
0.667,sample_8,len_109
0.684,sample_9,len_109
0.663,sample_0,len_110
0.832,sample_1,len_110
0.754,sample_2,len_110
0.848,sample_3,len_110
0.895,sample_4,len_110
0.818,sample_5,len_110
0.828,sample_6,len_110
0.848,sample_7,len_110
0.956,sample_8,len_110
0.837,sample_9,len_110
0.858,sample_0,len_111
0.926,sample_1,len_111
0.698,sample_2,len_111
0.801,sample_3,len_111
0.782,sample_4,len_111
0.887,sample_5,len_111
0.917,sample_6,len_111
0.651,sample_7,len_111
0.859,sample_8,len_111
0.899,sample_9,len_111
0.945,sample_0,len_112
0.959,sample_1,len_112
0.826,sample_2,len_112
0.82,sample_3,len_112
0.77,sample_4,len_112
0.677,sample_5,len_112
0.948,sample_6,len_112
0.864,sample_7,len_112
0.884,sample_8,len_112
0.911,sample_9,len_112
0.823,sample_0,len_113
0.853,sample_1,len_113
0.874,sample_2,len_113
0.747,sample_3,len_113
0.797,sample_4,len_113
0.597,sample_5,len_113
0.894,sample_6,len_113
0.695,sample_7,len_113
0.898,sample_8,len_113
0.791,sample_9,len_113
0.758,sample_0,len_114
0.679,sample_1,len_114
0.807,sample_2,len_114
0.882,sample_3,len_114
0.91,sample_4,len_114
0.695,sample_5,len_114
0.738,sample_6,len_114
0.634,sample_7,len_114
0.859,sample_8,len_114
0.759,sample_9,len_114
0.782,sample_0,len_115
0.756,sample_1,len_115
0.817,sample_2,len_115
0.894,sample_3,len_115
0.834,sample_4,len_115
0.812,sample_5,len_115
0.786,sample_6,len_115
0.731,sample_7,len_115
0.851,sample_8,len_115
0.746,sample_9,len_115
0.868,sample_0,len_116
0.81,sample_1,len_116
0.827,sample_2,len_116
0.848,sample_3,len_116
0.741,sample_4,len_116
0.575,sample_5,len_116
0.886,sample_6,len_116
0.714,sample_7,len_116
0.831,sample_8,len_116
0.85,sample_9,len_116
0.926,sample_0,len_117
0.882,sample_1,len_117
0.842,sample_2,len_117
0.918,sample_3,len_117
0.855,sample_4,len_117
0.745,sample_5,len_117
0.893,sample_6,len_117
0.755,sample_7,len_117
0.741,sample_8,len_117
0.775,sample_9,len_117
0.86,sample_0,len_118
0.662,sample_1,len_118
0.613,sample_2,len_118
0.78,sample_3,len_118
0.767,sample_4,len_118
0.959,sample_5,len_118
0.884,sample_6,len_118
0.859,sample_7,len_118
0.933,sample_8,len_118
0.781,sample_9,len_118
0.832,sample_0,len_119
0.774,sample_1,len_119
0.893,sample_2,len_119
0.817,sample_3,len_119
0.868,sample_5,len_119
0.937,sample_6,len_119
0.911,sample_7,len_119
0.779,sample_8,len_119
0.852,sample_9,len_119
0.82,sample_0,len_120
0.734,sample_1,len_120
0.839,sample_2,len_120
0.789,sample_3,len_120
0.857,sample_4,len_120
0.691,sample_5,len_120
0.668,sample_6,len_120
0.874,sample_7,len_120
0.748,sample_8,len_120
0.665,sample_9,len_120
0.659,sample_0,len_121
0.816,sample_1,len_121
0.761,sample_2,len_121
0.76,sample_3,len_121
0.59,sample_4,len_121
0.74,sample_5,len_121
0.796,sample_6,len_121
0.815,sample_7,len_121
0.661,sample_8,len_121
0.923,sample_9,len_121
0.674,sample_0,len_122
0.772,sample_1,len_122
0.839,sample_2,len_122
0.683,sample_3,len_122
0.935,sample_4,len_122
0.732,sample_5,len_122
0.796,sample_6,len_122
0.889,sample_7,len_122
0.636,sample_8,len_122
0.874,sample_9,len_122
0.713,sample_0,len_123
0.835,sample_1,len_123
0.62,sample_2,len_123
0.83,sample_3,len_123
0.807,sample_4,len_123
0.87,sample_5,len_123
0.801,sample_6,len_123
0.706,sample_7,len_123
0.835,sample_8,len_123
0.684,sample_9,len_123
0.765,sample_0,len_124
0.832,sample_1,len_124
0.738,sample_2,len_124
0.728,sample_3,len_124
0.713,sample_4,len_124
0.774,sample_5,len_124
0.837,sample_6,len_124
0.86,sample_7,len_124
0.67,sample_8,len_124
0.744,sample_9,len_124
0.764,sample_0,len_125
0.762,sample_1,len_125
0.784,sample_2,len_125
0.717,sample_3,len_125
0.739,sample_4,len_125
0.741,sample_5,len_125
0.658,sample_6,len_125
0.59,sample_7,len_125
0.732,sample_8,len_125
0.927,sample_9,len_125
0.848,sample_0,len_126
0.867,sample_1,len_126
0.828,sample_2,len_126
0.768,sample_3,len_126
0.718,sample_4,len_126
0.784,sample_5,len_126
0.664,sample_6,len_126
0.808,sample_7,len_126
0.759,sample_8,len_126
0.801,sample_9,len_126
0.874,sample_0,len_127
0.714,sample_1,len_127
0.655,sample_2,len_127
0.774,sample_3,len_127
0.602,sample_4,len_127
0.68,sample_5,len_127
0.78,sample_6,len_127
0.893,sample_7,len_127
0.734,sample_8,len_127
0.8,sample_9,len_127
0.746,sample_0,len_128
0.63,sample_1,len_128
0.846,sample_2,len_128
0.864,sample_3,len_128
0.817,sample_4,len_128
0.691,sample_5,len_128
0.878,sample_6,len_128
0.922,sample_7,len_128
0.822,sample_8,len_128
0.747,sample_9,len_128
