[2026-04-19 20:17:05,145][__main__][INFO] - Found GPU with device_name NVIDIA GeForce RTX 3050 Ti Laptop GPU. Will run RFdiffusion on NVIDIA GeForce RTX 3050 Ti Laptop GPU
[2026-04-19 20:17:05,147][rfdiffusion.inference.model_runners][INFO] - Reading checkpoint from /home/manvi/Team_8_CS598GBL/RFdiffusion/rfdiffusion/inference/../../models/Base_ckpt.pt
[2026-04-19 20:17:13,485][rfdiffusion.inference.model_runners][INFO] - Loading checkpoint.
[2026-04-19 20:17:13,864][rfdiffusion.diffusion][INFO] - Using cached IGSO3.
[2026-04-19 20:17:13,881][__main__][INFO] - Making design /home/manvi/Team_8_CS598GBL/Assignment/Generate_designs/default/len_092/design_0
[2026-04-19 20:17:13,886][rfdiffusion.inference.model_runners][INFO] - Using contig: ['92-92']
[2026-04-19 20:17:13,938][rfdiffusion.inference.model_runners][INFO] - Sequence init: --------------------------------------------------------------------------------------------
[2026-04-19 20:17:18,550][rfdiffusion.inference.model_runners][INFO] - Timestep 50, input to next step: --------------------------------------------------------------------------------------------
[2026-04-19 20:17:20,134][rfdiffusion.inference.model_runners][INFO] - Timestep 49, input to next step: --------------------------------------------------------------------------------------------
[2026-04-19 20:17:21,935][rfdiffusion.inference.model_runners][INFO] - Timestep 48, input to next step: --------------------------------------------------------------------------------------------
[2026-04-19 20:17:23,987][rfdiffusion.inference.model_runners][INFO] - Timestep 47, input to next step: --------------------------------------------------------------------------------------------
[2026-04-19 20:17:27,900][rfdiffusion.inference.model_runners][INFO] - Timestep 46, input to next step: --------------------------------------------------------------------------------------------
[2026-04-19 20:17:30,127][rfdiffusion.inference.model_runners][INFO] - Timestep 45, input to next step: --------------------------------------------------------------------------------------------
[2026-04-19 20:17:32,075][rfdiffusion.inference.model_runners][INFO] - Timestep 44, input to next step: --------------------------------------------------------------------------------------------
[2026-04-19 20:17:34,143][rfdiffusion.inference.model_runners][INFO] - Timestep 43, input to next step: --------------------------------------------------------------------------------------------
[2026-04-19 20:17:36,008][rfdiffusion.inference.model_runners][INFO] - Timestep 42, input to next step: --------------------------------------------------------------------------------------------
[2026-04-19 20:17:37,829][rfdiffusion.inference.model_runners][INFO] - Timestep 41, input to next step: --------------------------------------------------------------------------------------------
[2026-04-19 20:17:39,576][rfdiffusion.inference.model_runners][INFO] - Timestep 40, input to next step: --------------------------------------------------------------------------------------------
[2026-04-19 20:17:41,359][rfdiffusion.inference.model_runners][INFO] - Timestep 39, input to next step: --------------------------------------------------------------------------------------------
[2026-04-19 20:17:43,264][rfdiffusion.inference.model_runners][INFO] - Timestep 38, input to next step: --------------------------------------------------------------------------------------------
[2026-04-19 20:17:45,165][rfdiffusion.inference.model_runners][INFO] - Timestep 37, input to next step: --------------------------------------------------------------------------------------------
[2026-04-19 20:17:47,113][rfdiffusion.inference.model_runners][INFO] - Timestep 36, input to next step: --------------------------------------------------------------------------------------------
