pdbTM,sample,length
0.643,sample_0,len_090
0.731,sample_1,len_090
0.735,sample_2,len_090
0.559,sample_3,len_090
0.652,sample_4,len_090
0.799,sample_5,len_090
0.735,sample_6,len_090
0.771,sample_7,len_090
0.745,sample_8,len_090
0.793,sample_9,len_090
0.934,sample_0,len_091
0.781,sample_1,len_091
0.713,sample_2,len_091
0.686,sample_3,len_091
0.811,sample_4,len_091
0.755,sample_5,len_091
0.779,sample_6,len_091
0.711,sample_7,len_091
0.667,sample_8,len_091
0.883,sample_9,len_091
0.778,sample_0,len_092
0.781,sample_1,len_092
0.71,sample_2,len_092
0.775,sample_3,len_092
0.87,sample_4,len_092
0.785,sample_5,len_092
0.849,sample_6,len_092
0.717,sample_7,len_092
0.901,sample_8,len_092
0.771,sample_9,len_092
0.679,sample_0,len_093
0.709,sample_1,len_093
0.741,sample_2,len_093
0.742,sample_3,len_093
0.691,sample_4,len_093
0.851,sample_5,len_093
0.612,sample_6,len_093
0.734,sample_7,len_093
0.821,sample_8,len_093
0.604,sample_9,len_093
0.864,sample_0,len_094
0.832,sample_1,len_094
0.786,sample_2,len_094
0.7,sample_3,len_094
0.798,sample_4,len_094
0.931,sample_5,len_094
0.716,sample_6,len_094
0.711,sample_7,len_094
0.726,sample_8,len_094
0.9,sample_9,len_094
0.935,sample_0,len_095
0.883,sample_1,len_095
0.787,sample_2,len_095
0.671,sample_3,len_095
0.857,sample_4,len_095
0.72,sample_5,len_095
0.729,sample_6,len_095
0.832,sample_7,len_095
0.628,sample_8,len_095
0.876,sample_9,len_095
0.677,sample_0,len_096
0.79,sample_1,len_096
0.72,sample_2,len_096
0.866,sample_3,len_096
0.697,sample_4,len_096
0.873,sample_5,len_096
0.921,sample_6,len_096
0.853,sample_7,len_096
0.745,sample_8,len_096
0.746,sample_9,len_096
0.731,sample_0,len_097
0.662,sample_1,len_097
0.557,sample_2,len_097
0.895,sample_3,len_097
0.811,sample_4,len_097
0.837,sample_5,len_097
0.832,sample_6,len_097
0.746,sample_7,len_097
0.642,sample_8,len_097
0.974,sample_9,len_097
0.824,sample_0,len_098
0.842,sample_1,len_098
0.732,sample_2,len_098
0.673,sample_3,len_098
0.671,sample_4,len_098
0.722,sample_5,len_098
0.628,sample_6,len_098
0.717,sample_7,len_098
0.761,sample_8,len_098
0.722,sample_9,len_098
0.761,sample_0,len_099
0.909,sample_1,len_099
0.988,sample_2,len_099
0.705,sample_3,len_099
0.873,sample_4,len_099
0.77,sample_5,len_099
0.897,sample_6,len_099
